,user_id,role,registration_date,last_active_date,2021,2022,2023,2024
0,79,full,2021-12-30,2023-04-01,1,2,1,0
1,80,full,2021-11-22,2023-01-30,2,1,1,0
2,82,full,2021-11-22,2021-12-09,1,0,0,0
3,83,full,2021-11-26,2023-04-01,2,3,1,0
4,84,full,2021-11-25,2023-05-22,2,5,1,0
5,85,full,2021-11-22,2022-08-22,1,1,0,0
6,91,full,2021-11-23,2021-11-23,1,0,0,0
7,92,full,2021-11-23,2021-11-27,0,0,0,0
8,97,full,2021-11-23,2021-11-23,0,0,0,0
9,99,full,2022-03-04,2023-04-01,0,1,1,0
10,100,full,2021-11-24,2022-08-21,0,1,0,0
11,101,full,2021-11-24,2021-12-03,0,0,0,0
12,105,full,2021-11-24,2021-11-24,1,0,0,0
13,106,full,2021-11-24,2021-11-27,0,0,0,0
14,107,full,2021-11-27,2023-12-22,1,5,24,0
15,110,full,2021-11-24,2021-11-24,1,0,0,0
16,112,full,2021-11-30,2021-11-30,0,0,0,0
17,115,full,2022-06-17,2022-10-25,0,1,0,0
18,116,full,2021-11-27,2021-11-27,0,0,0,0
19,118,full,2021-11-26,2021-11-26,1,0,0,0
20,120,full,2021-11-27,2023-04-01,0,5,1,0
21,124,full,2021-11-27,2021-11-27,1,0,0,0
22,127,full,2022-04-19,2022-04-19,0,1,0,0
23,128,full,2021-11-30,2021-11-30,1,0,0,0
24,129,full,2021-12-16,2021-12-16,0,0,0,0
25,131,full,2022-02-18,2022-09-19,0,3,0,0
26,132,full,2021-11-30,2023-04-01,0,0,1,0
27,133,full,2021-11-30,2022-06-17,1,1,0,0
28,138,full,2021-12-01,2022-04-13,0,1,0,0
29,139,full,2021-12-01,2021-12-01,0,0,0,0
30,140,full,2021-12-01,2021-12-01,0,0,0,0
31,141,full,2021-12-01,2022-04-13,0,1,0,0
32,144,full,2021-12-01,2022-04-13,0,1,0,0
33,145,full,2021-12-01,2021-12-01,0,0,0,0
34,146,full,2021-12-01,2022-04-13,0,1,0,0
35,149,full,2021-12-02,2022-04-13,0,1,0,0
36,153,full,2021-12-03,2021-12-03,0,0,0,0
37,154,full,2021-12-03,2021-12-03,1,0,0,0
38,155,full,2023-02-20,2023-10-06,0,0,1,0
39,156,full,2021-12-03,2023-04-01,1,7,2,0
40,157,full,2021-12-07,2023-12-13,0,3,4,0
41,158,full,2021-12-03,2022-04-13,0,1,0,0
42,159,full,2021-12-03,2021-12-20,1,0,0,0
43,162,full,2021-12-03,2023-12-02,0,1,0,0
44,163,full,2021-12-03,2022-04-13,0,1,0,0
45,167,full,2021-12-03,2021-12-03,1,0,0,0
46,168,full,2021-12-03,2022-04-13,0,1,0,0
47,170,full,2021-12-03,2022-04-07,1,0,0,0
48,171,full,2021-12-03,2021-12-03,1,0,0,0
49,176,full,2021-12-04,2023-12-09,0,1,0,0
50,177,full,2021-12-04,2023-12-15,0,1,1,0
51,179,full,2021-12-06,2024-01-12,39,278,172,1
52,180,full,2021-12-06,2022-11-16,1,0,0,0
53,181,full,2021-12-21,2022-11-10,35,135,0,0
54,182,full,2021-12-09,2022-04-13,0,1,0,0
55,183,full,2021-12-06,2023-01-24,0,12,2,0
56,184,full,2022-10-20,2022-10-20,0,0,0,0
57,185,full,2021-12-06,2023-09-12,17,131,33,0
58,186,full,2021-12-06,2023-08-30,68,384,99,0
59,188,full,2021-12-06,2022-11-10,0,0,0,0
60,189,full,2021-12-06,2024-01-12,0,286,164,3
61,190,full,2022-03-16,2023-10-17,0,7,2,0
62,191,full,2021-12-06,2021-12-06,1,0,0,0
63,192,full,2021-12-21,2023-12-23,19,323,220,0
64,194,full,2021-12-06,2023-08-21,0,0,2,0
65,196,full,2022-03-17,2023-04-01,0,19,1,0
66,197,full,2021-12-13,2022-09-05,73,125,0,0
67,198,full,2022-07-29,2023-12-25,0,1,2,0
68,199,full,2021-12-06,2023-09-22,1,0,3,0
69,202,full,2021-12-06,2023-10-05,2,4,3,0
70,203,full,2021-12-06,2023-11-28,22,94,26,0
71,204,full,2021-12-06,2023-04-01,3,3,2,0
72,205,full,2021-12-06,2021-12-06,1,0,0,0
73,206,full,2021-12-06,2023-12-29,0,259,136,0
74,207,full,2021-12-06,2023-09-04,23,140,43,0
75,209,full,2021-12-06,2023-12-25,56,479,135,0
76,210,full,2021-12-06,2022-11-06,1,0,0,0
77,211,full,2021-12-21,2022-12-20,0,2,0,0
78,212,full,2021-12-06,2023-09-04,0,0,0,0
79,213,full,2022-02-10,2023-11-15,0,113,25,0
80,214,full,2021-12-06,2021-12-21,1,0,0,0
81,215,full,2021-12-06,2023-04-01,3,26,19,0
82,216,full,2021-12-06,2023-12-29,0,0,1,0
83,217,full,2021-12-06,2023-03-30,23,156,12,0
84,218,full,2021-12-13,2021-12-13,0,0,0,0
85,219,full,2021-12-06,2023-12-31,0,210,110,0
86,220,full,2021-12-23,2023-09-04,0,5,2,0
87,221,full,2022-03-18,2023-11-18,0,1,1,0
88,222,full,2021-12-11,2023-04-01,7,127,22,0
89,223,full,2021-12-06,2023-12-25,39,85,97,0
90,225,full,2022-01-03,2022-06-13,0,30,0,0
91,226,full,2021-12-06,2022-06-17,1,1,0,0
92,227,full,2021-12-21,2023-09-12,1,0,1,0
93,228,full,2021-12-06,2023-04-01,7,5,3,0
94,229,full,2021-12-06,2023-12-31,0,226,104,0
95,231,full,2021-12-06,2021-12-06,1,0,0,0
96,232,full,2021-12-06,2023-04-01,1,3,3,0
97,233,full,2021-12-06,2021-12-06,1,0,0,0
98,235,full,2021-12-06,2023-12-21,0,201,130,0
99,236,full,2021-12-06,2023-04-01,0,1,1,0
100,237,full,2021-12-06,2023-12-26,3,232,129,0
101,238,full,2022-08-27,2023-08-29,0,0,0,0
102,239,full,2021-12-07,2023-12-26,27,102,11,0
103,240,full,2021-12-06,2023-08-21,1,172,44,0
104,241,full,2021-12-06,2023-09-13,2,2,3,0
105,243,full,2023-03-15,2023-10-28,0,0,5,0
106,244,full,2021-12-06,2024-01-04,11,345,296,1
107,245,full,2021-12-06,2023-12-25,5,3,10,0
108,246,full,2022-05-10,2024-01-12,0,8,15,1
109,247,full,2021-12-06,2021-12-06,0,0,0,0
110,248,full,2021-12-06,2022-04-13,1,1,0,0
111,249,full,2021-12-06,2021-12-14,1,0,0,0
112,250,full,2021-12-06,2021-12-06,1,0,0,0
113,252,full,2021-12-22,2022-10-19,0,0,0,0
114,253,full,2021-12-06,2021-12-06,1,0,0,0
115,254,full,2021-12-06,2023-10-20,87,353,123,0
116,256,full,2021-12-23,2023-04-03,16,75,29,0
117,257,full,2022-02-10,2023-10-20,0,51,81,0
118,258,full,2022-03-25,2024-01-12,0,36,7,2
119,259,full,2021-12-06,2021-12-06,1,0,0,0
120,260,full,2021-12-06,2022-08-23,1,1,0,0
121,263,full,2021-12-06,2023-12-26,22,357,125,0
122,264,full,2021-12-06,2022-01-14,1,1,0,0
123,265,full,2021-12-06,2021-12-06,1,0,0,0
124,266,full,2021-12-06,2023-08-16,1,1,1,0
125,267,full,2021-12-06,2022-05-23,0,1,0,0
126,269,full,2023-08-19,2023-12-26,0,0,4,0
127,270,full,2022-03-16,2023-10-06,0,220,90,0
128,271,full,2022-03-17,2023-12-27,0,3,10,0
129,272,full,2021-12-06,2021-12-06,1,0,0,0
130,273,full,2021-12-06,2022-04-13,1,1,0,0
131,274,full,2021-12-06,2023-11-18,0,50,1,0
132,277,full,2021-12-06,2022-03-11,0,0,0,0
133,278,full,2021-12-06,2023-11-02,10,197,63,0
134,279,full,2021-12-21,2022-05-26,16,0,0,0
135,280,full,2021-12-06,2023-02-09,1,3,1,0
136,281,full,2021-12-06,2023-12-31,0,18,5,0
137,282,full,2022-10-10,2023-09-12,0,3,2,0
138,283,full,2021-12-06,2023-12-30,0,50,44,0
139,284,full,2021-12-06,2022-06-23,52,215,0,0
140,285,full,2021-12-06,2021-12-06,1,0,0,0
141,286,full,2021-12-21,2024-01-12,40,210,68,2
142,287,full,2021-12-06,2023-12-29,1,265,139,0
143,288,full,2023-04-15,2023-04-15,0,0,0,0
144,289,full,2021-12-21,2023-12-27,1,197,76,0
145,290,full,2021-12-06,2023-04-01,1,9,1,0
146,291,full,2021-12-06,2022-11-10,0,0,0,0
147,293,full,2022-03-18,2022-11-17,0,1,0,0
148,294,full,2021-12-24,2024-01-04,22,308,204,1
149,295,full,2021-12-06,2023-12-25,12,11,18,0
150,296,full,2021-12-06,2023-12-26,1,130,15,0
151,299,full,2021-12-06,2023-12-31,0,29,7,0
152,300,full,2021-12-06,2024-01-12,0,4,14,2
153,301,full,2021-12-06,2021-12-06,1,0,0,0
154,302,full,2023-08-10,2023-12-31,0,0,21,0
155,303,full,2021-12-08,2022-04-13,0,1,0,0
156,305,full,2021-12-06,2023-09-04,4,31,22,0
157,306,full,2021-12-06,2023-10-19,67,406,143,0
158,307,full,2022-02-20,2023-09-22,0,203,109,0
159,311,full,2021-12-06,2023-12-26,1,1,5,0
160,313,full,2021-12-06,2021-12-06,1,0,0,0
161,314,full,2021-12-06,2023-12-27,1,246,121,0
162,315,full,2022-10-20,2022-10-20,0,0,0,0
163,316,full,2022-02-02,2022-06-17,0,2,0,0
164,317,full,2021-12-18,2023-11-27,55,343,106,0
165,318,full,2021-12-06,2022-08-16,0,1,0,0
166,319,full,2021-12-06,2023-11-28,1,130,77,0
167,320,full,2021-12-06,2023-12-18,3,103,20,0
168,321,full,2021-12-07,2023-12-15,3,15,18,0
169,322,full,2021-12-06,2023-12-21,21,327,122,0
170,323,full,2021-12-06,2021-12-09,1,0,0,0
171,324,full,2021-12-08,2023-04-01,0,2,1,0
172,325,full,2021-12-06,2023-08-16,0,1,3,0
173,327,full,2022-02-18,2023-12-25,0,263,91,0
174,328,full,2021-12-06,2022-11-12,1,0,0,0
175,332,full,2021-12-06,2021-12-06,1,0,0,0
176,333,full,2022-02-24,2023-09-04,0,73,4,0
177,334,full,2021-12-06,2022-04-13,0,1,0,0
178,335,full,2022-04-17,2023-03-23,0,2,1,0
179,340,full,2021-12-06,2022-06-17,1,1,0,0
180,343,full,2021-12-06,2023-12-28,1,3,3,0
181,344,full,2023-09-03,2023-12-27,0,0,4,0
182,345,full,2021-12-21,2022-05-25,1,0,0,0
183,346,full,2021-12-06,2023-08-03,0,0,3,0
184,347,full,2021-12-22,2023-10-19,31,344,105,0
185,348,full,2022-11-16,2022-11-16,0,1,0,0
186,349,full,2023-08-25,2023-09-04,0,0,2,0
187,350,full,2021-12-06,2023-10-26,53,308,95,0
188,351,full,2021-12-06,2022-08-29,1,3,0,0
189,352,full,2021-12-06,2021-12-06,1,0,0,0
190,353,full,2021-12-06,2021-12-06,1,0,0,0
191,356,full,2021-12-06,2023-12-14,1,1,2,0
192,358,full,2021-12-06,2023-09-18,1,9,2,0
193,359,full,2021-12-06,2021-12-06,1,0,0,0
194,361,full,2021-12-06,2021-12-06,1,0,0,0
195,362,full,2021-12-06,2023-12-09,0,1,13,0
196,363,full,2021-12-07,2023-11-07,0,1,2,0
197,364,full,2021-12-06,2021-12-06,1,0,0,0
198,365,full,2022-02-12,2023-09-05,0,288,35,0
199,366,full,2021-12-06,2023-11-25,1,0,5,0
200,367,full,2021-12-06,2023-08-16,0,2,6,0
201,368,full,2021-12-06,2024-01-12,0,109,64,2
202,370,full,2021-12-06,2022-04-15,1,1,0,0
203,373,full,2021-12-06,2023-11-25,0,0,5,0
204,375,full,2021-12-09,2023-12-25,60,427,127,0
205,378,full,2022-03-30,2023-12-27,0,327,225,0
206,380,full,2021-12-06,2023-11-25,1,0,1,0
207,381,full,2021-12-06,2021-12-06,1,0,0,0
208,383,full,2021-12-06,2023-09-13,0,1,3,0
209,384,full,2021-12-06,2021-12-06,1,0,0,0
210,385,full,2021-12-06,2023-05-07,0,3,6,0
211,387,full,2021-12-22,2023-12-25,47,507,130,0
212,388,full,2021-12-06,2023-12-13,0,0,0,0
213,389,full,2021-12-06,2023-08-16,54,308,97,0
214,390,full,2021-12-06,2022-09-30,1,0,0,0
215,391,full,2021-12-06,2023-08-18,0,0,1,0
216,395,full,2021-12-06,2021-12-06,1,0,0,0
217,396,full,2021-12-06,2023-12-22,0,0,0,0
218,397,full,2021-12-06,2023-09-06,1,11,4,0
219,398,full,2021-12-06,2021-12-06,1,0,0,0
220,399,full,2021-12-06,2024-01-12,1,2,30,1
221,400,full,2021-12-06,2024-01-12,74,434,154,1
222,401,full,2021-12-06,2022-08-01,0,1,0,0
223,402,full,2021-12-06,2023-12-30,31,498,145,0
224,403,full,2021-12-06,2023-12-26,13,325,164,0
225,404,full,2022-08-28,2022-11-08,0,4,0,0
226,405,full,2021-12-23,2023-04-01,55,117,6,0
227,406,full,2021-12-06,2023-10-30,1,6,37,0
228,407,full,2021-12-07,2023-12-25,4,303,143,0
229,408,full,2021-12-06,2023-12-30,0,2,0,0
230,409,full,2022-10-29,2023-09-11,0,1,5,0
231,410,full,2021-12-06,2023-12-22,5,304,169,0
232,411,full,2021-12-06,2022-06-17,1,6,0,0
233,412,full,2021-12-06,2023-12-25,28,475,130,0
234,413,full,2021-12-06,2023-04-01,11,259,71,0
235,414,full,2021-12-22,2021-12-22,1,0,0,0
236,415,full,2021-12-06,2021-12-06,1,0,0,0
237,416,full,2021-12-06,2021-12-06,1,0,0,0
238,418,full,2022-05-23,2023-10-13,0,0,2,0
239,419,full,2022-05-23,2023-12-10,0,0,1,0
240,422,full,2021-12-06,2023-09-06,0,1,0,0
241,423,full,2021-12-06,2023-12-25,17,468,122,0
242,424,full,2021-12-06,2023-12-25,53,441,119,0
243,426,full,2021-12-06,2023-12-20,1,3,20,0
244,428,full,2021-12-06,2023-11-19,0,8,1,0
245,429,full,2021-12-06,2022-04-13,0,10,0,0
246,430,full,2023-11-20,2023-11-25,0,0,1,0
247,431,full,2021-12-06,2023-04-17,2,1,1,0
248,432,full,2021-12-06,2022-11-02,2,0,0,0
249,433,full,2021-12-06,2023-02-18,0,5,2,0
250,434,full,2021-12-06,2023-12-25,12,251,138,0
251,436,full,2021-12-06,2024-01-03,3,3,3,2
252,437,full,2021-12-06,2023-01-28,1,0,1,0
253,438,full,2021-12-06,2023-10-12,0,28,8,0
