,user_id,role,registration_date,last_activity_date,y2021,y2022,y2023,y2024
0,52626,full,2022-08-18,2023-12-26,0,1,5,0
1,208847,full,2023-11-21,2023-11-27,0,0,2,0
2,27901,full,2022-05-23,2023-12-27,0,1,122,0
3,124600,full,2023-03-19,2023-11-30,0,0,6,0
4,172768,full,2023-09-04,2023-11-26,0,0,0,0
5,213410,full,2023-11-26,2023-11-26,0,0,0,0
6,199754,full,2023-11-13,2023-11-26,0,0,1,0
7,213453,full,2023-11-26,2023-11-26,0,0,1,0
8,197024,full,2023-11-08,2023-12-17,0,0,3,0
9,35691,full,2022-07-19,2023-12-27,0,0,5,0
10,132888,full,2023-04-23,2023-12-08,0,0,4,0
11,3812,full,2021-12-21,2023-12-15,0,115,85,0
12,209887,full,2023-11-22,2023-11-27,0,0,1,0
13,213560,full,2023-11-26,2023-11-26,0,0,1,0
14,201416,full,2023-11-14,2023-12-25,0,0,2,0
15,213623,full,2023-11-26,2023-11-26,0,0,1,0
16,6293,full,2021-12-22,2023-12-22,0,0,7,0
17,36220,full,2022-07-19,2023-12-30,0,1,206,0
18,133307,full,2023-04-27,2023-11-27,0,0,0,0
19,74710,full,2022-10-21,2024-01-06,0,1,113,1
20,229,full,2021-12-06,2023-12-31,0,226,104,0
21,1843,full,2021-12-07,2023-11-30,4,339,202,0
22,2082,full,2021-12-07,2023-12-25,0,0,30,0
23,25915,full,2022-05-17,2023-12-29,0,0,3,0
24,177162,full,2023-09-09,2023-12-22,0,0,5,0
25,213805,full,2023-11-27,2023-12-23,0,0,5,0
26,213892,full,2023-11-27,2023-11-27,0,0,0,0
27,93901,full,2022-12-05,2023-12-25,0,0,8,0
28,214191,full,2023-11-27,2023-11-27,0,0,0,0
29,33577,full,2022-06-30,2023-12-10,0,0,3,0
30,186451,full,2023-09-28,2023-12-26,0,0,30,0
31,26203,full,2022-05-21,2023-12-01,0,0,5,0
32,214432,full,2023-11-27,2023-11-27,0,0,0,0
33,208417,full,2023-11-21,2023-12-07,0,0,1,0
34,214701,full,2023-11-27,2023-11-27,0,0,0,0
35,214763,full,2023-11-27,2023-12-02,0,0,1,0
36,150649,full,2023-08-16,2023-12-20,0,0,15,0
37,98238,full,2022-12-17,2023-12-01,0,2,7,0
38,102653,full,2022-12-22,2023-11-28,0,1,12,0
39,3751,full,2021-12-21,2023-12-01,5,58,1,0
40,214832,full,2023-11-27,2023-11-27,0,0,0,0
41,147264,full,2023-08-10,2023-11-27,0,0,0,0
42,97362,full,2022-12-15,2023-12-30,0,0,4,0
43,213926,full,2023-11-27,2023-11-28,0,0,1,0
44,9866,full,2022-02-02,2023-12-01,0,2,7,0
45,170638,full,2023-09-01,2023-12-02,0,0,1,0
46,215086,full,2023-11-28,2023-11-28,0,0,0,0
47,215133,full,2023-11-28,2023-11-28,0,0,0,0
48,14668,full,2022-03-15,2023-11-28,0,0,0,0
49,215355,full,2023-11-28,2023-11-28,0,0,0,0
50,215399,full,2023-11-28,2023-11-28,0,0,0,0
51,215029,full,2023-11-28,2023-11-28,0,0,1,0
52,296,full,2021-12-06,2023-12-26,1,130,15,0
53,215490,full,2023-11-28,2023-11-28,0,0,0,0
54,215557,full,2023-11-28,2023-11-28,0,0,0,0
55,215590,full,2023-11-28,2023-12-27,0,0,0,0
56,198640,full,2023-11-10,2023-12-11,0,0,1,0
57,138608,full,2023-06-20,2023-12-29,0,0,3,0
58,65009,full,2022-09-12,2023-12-25,0,1,10,0
59,206934,full,2023-11-20,2023-12-01,0,0,1,0
60,107618,full,2023-01-30,2023-12-02,0,0,11,0
61,57068,full,2022-09-02,2023-12-11,0,0,1,0
62,215751,full,2023-11-28,2023-11-28,0,0,0,0
63,215747,full,2023-11-28,2023-12-11,0,0,1,0
64,3040,full,2021-12-09,2023-12-24,0,247,115,0
65,58242,full,2022-09-04,2023-12-03,0,2,1,0
66,25774,full,2022-05-14,2024-01-04,0,3,1,1
67,153749,full,2023-08-23,2024-01-12,0,0,6,1
68,215906,full,2023-11-28,2023-11-28,0,0,0,0
69,19860,full,2022-03-21,2023-12-29,0,13,21,0
70,215932,full,2023-11-29,2023-11-29,0,0,1,0
71,5488,full,2021-12-21,2023-11-29,1,0,3,0
72,140166,full,2023-07-09,2023-12-27,0,0,37,0
73,3331,full,2021-12-14,2024-01-19,0,1,5,2
74,216087,full,2023-11-29,2023-11-29,0,0,1,0
75,147383,full,2023-08-10,2023-11-29,0,0,1,0
76,175038,full,2023-09-08,2023-11-29,0,0,1,0
77,210907,full,2023-11-23,2023-12-12,0,0,3,0
78,216143,full,2023-11-29,2023-12-01,0,0,1,0
79,203591,full,2023-11-16,2023-12-12,0,0,2,0
80,121031,full,2023-02-19,2023-11-29,0,0,0,0
81,122389,full,2023-03-05,2023-12-12,0,0,4,0
82,206748,full,2023-11-20,2023-11-29,0,0,1,0
83,14886,full,2022-03-16,2023-11-30,0,5,4,0
84,46906,full,2022-08-24,2023-11-30,0,17,21,0
85,191509,full,2023-10-29,2024-01-12,0,0,7,1
86,13487,full,2022-02-25,2023-11-30,0,253,129,0
87,12365,full,2022-06-06,2024-01-12,0,202,198,2
88,213489,full,2023-11-26,2023-11-26,0,0,1,0
89,212676,full,2023-11-26,2023-12-09,0,0,1,0
90,213511,full,2023-11-26,2023-12-03,0,0,2,0
91,8283,full,2022-02-01,2024-01-12,0,481,320,2
92,184480,full,2023-09-18,2023-12-04,0,0,2,0
93,185438,full,2023-09-22,2023-12-07,0,0,3,0
94,109670,full,2023-11-26,2023-11-26,0,0,0,0
95,148210,full,2023-08-11,2023-11-30,0,0,3,0
96,213526,full,2023-11-26,2023-11-26,0,0,0,0
97,38836,full,2023-08-29,2023-12-09,0,0,2,0
98,213583,full,2023-11-26,2023-12-04,0,0,1,0
99,213593,full,2023-11-26,2023-11-26,0,0,1,0
100,22377,full,2022-07-31,2023-12-09,0,0,1,0
101,35487,full,2022-08-20,2023-12-26,0,1,3,0
102,29879,full,2023-03-05,2023-11-27,0,0,0,0
103,213722,full,2023-11-27,2023-11-27,0,0,1,0
104,188740,full,2023-10-16,2023-11-28,0,0,2,0
105,19498,full,2022-03-24,2024-01-03,0,115,106,1
106,23407,full,2023-04-04,2023-12-29,0,0,77,0
107,193584,full,2023-11-01,2023-12-01,0,0,3,0
108,3205,full,2021-12-29,2024-01-12,5,147,139,3
109,186984,full,2023-10-02,2023-12-27,0,0,17,0
110,167940,full,2023-08-29,2023-12-27,0,0,18,0
111,182924,full,2023-09-26,2023-12-18,0,0,13,0
112,213791,full,2023-11-27,2023-12-01,0,0,1,0
113,213973,full,2023-11-27,2023-12-01,0,0,1,0
114,38788,full,2023-11-27,2023-11-27,0,0,0,0
115,214119,full,2023-11-27,2023-11-27,0,0,0,0
116,101259,full,2023-10-09,2023-11-28,0,0,6,0
117,1617,full,2022-01-07,2024-01-09,0,353,239,1
118,107839,full,2023-03-15,2023-12-25,0,0,62,0
119,214354,full,2023-11-27,2023-11-27,0,0,0,0
120,88111,full,2022-11-10,2023-12-27,0,1,17,0
121,134512,full,2023-05-08,2023-12-01,0,0,15,0
122,214489,full,2023-11-27,2023-11-27,0,0,0,0
123,59413,full,2022-09-04,2023-12-14,0,33,6,0
124,214640,full,2023-11-27,2023-11-27,0,0,1,0
125,191417,full,2023-10-28,2023-12-01,0,0,2,0
126,419,full,2022-05-23,2023-12-10,0,0,1,0
127,90878,full,2023-03-09,2024-01-12,0,0,6,3
128,214747,full,2023-11-27,2023-11-27,0,0,1,0
129,192,full,2021-12-21,2023-12-23,19,323,220,0
130,85933,full,2022-12-16,2023-12-04,0,0,3,0
131,160243,full,2023-08-26,2023-12-13,0,0,3,0
132,213543,full,2023-11-27,2023-11-27,0,0,0,0
133,204958,full,2023-11-18,2023-12-29,0,0,2,0
134,214906,full,2023-11-28,2023-12-04,0,0,1,0
135,165700,full,2023-08-27,2023-12-25,0,0,5,0
136,91981,full,2022-11-26,2023-11-28,0,2,2,0
137,128026,full,2023-04-01,2023-12-18,0,0,2,0
138,183136,full,2023-09-13,2023-11-28,0,0,1,0
139,51718,full,2023-08-11,2023-12-12,0,0,1,0
140,215140,full,2023-11-28,2023-12-11,0,0,1,0
141,215175,full,2023-11-28,2023-11-28,0,0,0,0
142,215169,full,2023-11-28,2023-11-28,0,0,0,0
143,192555,full,2023-10-31,2023-11-29,0,0,2,0
144,215268,full,2023-11-28,2023-11-28,0,0,0,0
145,200697,full,2023-11-14,2024-01-12,0,0,7,4
146,187101,full,2023-10-03,2023-12-27,0,0,6,0
147,209033,full,2023-11-23,2023-12-26,0,0,7,0
148,133780,full,2023-05-01,2023-12-01,0,0,7,0
149,97870,full,2022-12-19,2023-12-21,0,3,5,0
150,12530,full,2023-05-14,2024-01-11,0,0,12,1
151,9318,full,2022-01-31,2023-12-13,0,2,15,0
152,439,full,2022-03-11,2024-01-12,0,385,223,2
153,1774,full,2022-01-26,2023-12-26,0,299,155,0
154,200341,full,2023-11-13,2023-12-27,0,0,2,0
155,215683,full,2023-11-28,2023-12-03,0,0,1,0
156,215693,full,2023-11-28,2023-12-04,0,0,2,0
157,215701,full,2023-11-28,2023-12-06,0,0,2,0
158,94862,full,2023-08-15,2023-12-04,0,0,3,0
159,215766,full,2023-11-28,2023-11-28,0,0,0,0
160,215816,full,2023-11-28,2023-11-28,0,0,0,0
161,53501,full,2022-08-22,2023-12-27,0,3,6,0
162,105749,full,2023-01-24,2023-12-09,0,0,5,0
163,29129,full,2023-11-29,2023-11-29,0,0,0,0
164,216057,full,2023-11-29,2023-11-29,0,0,0,0
165,145884,full,2023-08-16,2023-12-27,0,0,7,0
166,1104,full,2021-12-06,2023-12-28,46,327,96,0
167,143316,full,2023-08-02,2023-12-01,0,0,10,0
168,216151,full,2023-11-29,2023-11-29,0,0,0,0
169,186183,full,2023-11-12,2024-01-10,0,0,2,1
170,216211,full,2023-11-29,2023-12-01,0,0,2,0
171,134502,full,2023-05-08,2023-11-29,0,0,1,0
172,173569,full,2023-09-06,2023-11-30,0,0,1,0
173,74652,full,2022-10-21,2024-01-12,0,8,44,2
174,216336,full,2023-11-30,2023-11-30,0,0,1,0
175,216383,full,2023-11-30,2023-11-30,0,0,0,0
176,41761,full,2022-07-29,2024-01-06,0,18,58,1
177,211446,full,2023-11-23,2023-11-30,0,0,1,0
178,64965,full,2022-09-12,2023-12-27,0,0,7,0
179,216495,full,2023-11-30,2023-11-30,0,0,1,0
180,216481,full,2023-11-30,2023-12-14,0,0,2,0
181,10497,full,2022-02-04,2023-12-26,0,3,17,0
182,204233,full,2023-11-17,2023-12-01,0,0,0,0
183,92157,full,2022-11-26,2023-12-22,0,0,14,0
184,3667,full,2021-12-20,2024-01-12,0,1,8,2
185,138646,full,2023-06-21,2023-12-21,0,0,4,0
186,68969,full,2022-09-28,2023-12-01,0,4,3,0
187,69085,full,2022-09-28,2023-12-15,0,28,78,0
188,22961,full,2022-04-13,2023-12-04,0,3,2,0
189,33856,full,2022-07-02,2023-12-04,0,0,5,0
190,59475,full,2022-09-04,2023-12-06,0,0,4,0
191,207724,full,2023-11-21,2023-12-02,0,0,1,0
192,199238,full,2023-11-11,2023-12-07,0,0,1,0
193,216815,full,2023-12-02,2023-12-02,0,0,0,0
194,16550,full,2022-03-16,2023-12-27,0,252,128,0
195,216841,full,2023-12-02,2023-12-02,0,0,1,0
196,5079,full,2021-12-21,2023-12-02,0,1,0,0
197,190288,full,2023-10-24,2023-12-04,0,0,1,0
198,216854,full,2023-12-02,2023-12-25,0,0,3,0
199,147546,full,2023-08-10,2023-12-04,0,0,2,0
200,216390,full,2023-11-30,2023-12-04,0,0,2,0
201,145168,full,2023-08-06,2023-12-11,0,0,2,0
202,132567,full,2023-04-21,2023-12-27,0,0,12,0
203,43322,full,2022-07-30,2023-12-02,0,0,0,0
204,217007,full,2023-12-03,2023-12-07,0,0,1,0
205,204788,full,2023-11-17,2023-12-03,0,0,1,0
206,217051,full,2023-12-03,2023-12-03,0,0,1,0
207,213294,full,2023-11-25,2023-12-17,0,0,1,0
208,217139,full,2023-12-03,2023-12-08,0,0,1,0
209,33781,full,2022-07-01,2023-12-06,0,0,1,0
210,203145,full,2023-11-16,2023-12-30,0,0,4,0
211,217193,full,2023-12-03,2023-12-03,0,0,1,0
212,198968,full,2023-11-10,2023-12-08,0,0,1,0
213,134877,full,2023-05-12,2023-12-11,0,0,2,0
214,25058,full,2022-05-04,2023-12-18,0,0,0,0
215,98624,full,2022-12-19,2023-12-04,0,0,0,0
216,217308,full,2023-12-04,2023-12-08,0,0,2,0
217,217315,full,2023-12-04,2023-12-08,0,0,1,0
218,87250,full,2022-11-10,2023-12-04,0,0,3,0
219,195506,full,2023-11-03,2023-12-04,0,0,8,0
220,1264,full,2021-12-06,2023-12-05,46,201,64,0
221,66313,full,2022-09-15,2023-12-21,0,94,119,0
222,90904,full,2022-11-20,2023-12-25,0,1,64,0
223,33846,full,2022-07-02,2023-12-18,0,0,32,0
224,201449,full,2023-11-14,2023-12-20,0,0,4,0
225,189597,full,2023-10-20,2023-12-05,0,0,1,0
226,217572,full,2023-12-05,2023-12-05,0,0,1,0
227,103448,full,2022-12-26,2023-12-30,0,0,12,0
228,217584,full,2023-12-05,2023-12-18,0,0,2,0
229,134677,full,2023-05-10,2023-12-18,0,0,1,0
230,60608,full,2022-09-07,2023-12-05,0,0,0,0
231,217661,full,2023-12-05,2023-12-05,0,0,1,0
232,7021,full,2023-11-29,2023-12-05,0,0,1,0
233,5169,full,2022-03-18,2023-12-01,0,229,144,0
234,142693,full,2023-08-01,2023-12-25,0,0,61,0
